instance;optimal;time;value;bound;gap
taxe_grille_2x3.txt;true;0.015;10.0;10.0;0.0
taxe_grille_3x4.txt;true;0.017;9.0;9.0;0.0
taxe_grille_4x5.txt;true;0.037;18.0;18.0;0.0
taxe_grille_5x6.txt;true;0.234;38.0;38.0;0.0
taxe_grille_6x10.txt;true;0.49;39.000000048868685;39.000000048868685;0.0
taxe_grille_6x11.txt;true;0.882;86.0;86.0;0.0
taxe_grille_6x7.txt;true;0.291;34.0;34.0;0.0
taxe_grille_6x8.txt;true;0.345;40.999999999999986;40.999999999999986;0.0
taxe_grille_6x9.txt;true;0.436;39.0;39.0;0.0
taxe_grille_7x10.txt;true;0.351;77.0;77.0;0.0
taxe_grille_7x11.txt;true;0.844;105.0;105.0;0.0
taxe_grille_7x8.txt;true;0.346;42.0;42.0;0.0
taxe_grille_7x9.txt;true;0.667;58.0;58.0;0.0
taxe_grille_8x10.txt;true;0.423;35.0;35.0;0.0
taxe_grille_8x9.txt;true;0.695;30.0;30.0;0.0
